stc_or_wing,extracted_stc
m2475,13299
m2476,13300
d327,13303
l2893,13305
t223,13308
d464,13309
l162a,1331
f1230a,1331
q218,1331
a3686,13310
b4881,13311
t172,13312
s3459,13313
q215,13315
c7193,13316
22929,13317
11516,1332
11516,13320
12551,13321
12551,13323
12552,13324
12553,13325
12555,13326
12555.5,13327
17800,13328
21445,1333
21445,13336
21446,13340
r2213,13342
r2214,13347
19524,13348
23374,13349
249,1335
250,13350
12936,13351
12418,13352
12417,13355
12956,13356
5905,13357
20691,13358
22888,13359
s4393c,1336
b4269,13360
b4270,13364
f1343,13366
f1343,13367
17778,13369
,13370
,13371
20723,13373
,1338
,13391
17779,1340
,13406
,13419
13691,13423
,1343
13692,13434
,13436
18677,13438
,1344
11635,13442
,13443
,13447
,13450
11636,13455
,13457
,13459
,13462
11637,13463
11638,13466
,1347
,13480
,13483
,13484
11639,13485
5232,13498
,135
5232,13502
5233,13509
,13510
25347,13516
,1352
,13521
22221,13523
,13525
,13527
,13529
,1353
,13531
,1354
,13544
,13554
,13556
,13559
17029,1356
,1356
17425,1356
,13560
,13561
17426,13566
,13568b
,13576
17427,1358
,1359
,13590
11340,13591
,13592
14644,13595
,13598
,13599
14646,1360
,13602
,13604
14647,13609
,13619
,13626
18138,13628
,13630
11515,13634
,13635
,13637
7600,13640
,13669
,13686
,13706
6243.4,13707
,13708
6243.5,13711
,13713
6243.6,13722
,13723
22541,13735
,13741
22542,13742
,13743
22543,13745
,13746
22543a,13752
22544,13753
,13756
22544a,13757
22545,13759
,13760
22545.5,1379
22545.7,13797
22546,13805
22546a,13805
22547,13818
,13821
22548,13824
22548a,13828
22549,1383
,1384
22550,13847
,1384b
s3768,1385
,13852
6261,13854
,13855
13341,13855
,13861
,13868
13342,13869
,13872
,13873
13343,13874
,13875
,13876
13344,13889
,13890
,13898
13345,13900
,13901
,13903
13346,13904
,13914
,13917
6236,13921
,13923
6237,13926a
15681,13941
,13942
,13943
15681.5,13944
15682,13945
14756,13948
,13949
,13950
343,13951
,13952
,13953
344,13955
,13956
,13957
,1396
345,13973
,13974
,13975
,1399
,13996
6239,13996
,13997
,13997a
6240,13997b
,13999
,14
,140
,14000
6242,14012
,14018
,14020
,14024
,14025
,14028
6243,14029
6263,1403
,14031
14761,14032
,1404
,14042
,14043
4968,14046
,14050a
,1406
4969,14067
,14068
,14077c
13161,14077c
,14077c
17904,14077c
,14077c
,14077c
4545,14077c
,14077c
,14077c
14751,14077c
,14077c
,14077c
,14077c
,14077c
,14077c
,14077c
,14077c
,14077c
,14077c
,14077c
,1408
,14084
,14093
,14097
,14109
,14110
,14111a
,14115
,14131
,14131
,14140
,1417
,14185
,1419
,14190
,1420
,1421
,1422
,14265
,14270
,14278
,1429
,1428
,14297
14752,14297a
14753,14298
,14299
,14300
,14301
,14304
,14305
,14305a
,14306
,14307
,14309
,14311
,14313
,14314
,14316
,14317
,14318
,14319
,14321
,14327
,1433
,14363
,14364
,14369
,14373
,14379
,1438
,14387
,1439
26101,14401
,1441a
,14426
,1443
17886,1444
,14445
,1445
,14454
,14455
,14456
,14459
,1446
,14460
,1447
,14476
6238,14477
,14484
,14486
,1449
,14502
,14508
6243.8,1451
22273,14512
,14520
,14521
,14524
,14526
,1453
,1454
,14541
,1455
,14554
,14555
,14556
,1456
,14590
,14591
,14595
,14596
,14600
,14604
,14606
,14609
,1461
,14611
,14613
,14614
,1462
,1462
,1462
,14623
,14624
,14626
,14627
,14637
,14639
,14646
,14648
,1465
22274,14650
,14651
,14655
,1466
,14662
,14663
,14667
,14668
,1467
,14671
,14672
,14674
,14675
,14677
,14678
,14684
,14685
,14686
,1469
,14690
,14691
,14691
,14694
,14695
,14699
,14706
,14707
,14708
,14708
,14708
,14717
,14718
,14719
,14732
,14735
,14737
,14739
22274a,14739
22274b,14741
22274c,14747
22274d,14748
22274e,14752
22274e.3,14753
22274e.5,14755
23897,14756
,14758
,14759
20686,14761
,14762
,14766
20686.5,14767
,14771
,14772
20687,14773
,14774
,14776
20688,14779
,14780
,14788
20690,1480
,14809
,14819
20689,14820
,14821
,14822
14753.5,14823
,14826
,14828
,14828
,14829
17088,14830
,14831a
,14837a
,14838
,14842
,1486
,1487
,1487
,14893
17089,14894
11993,14896
,149
12361,14905
,14917
,14918
17471,14919
,14924
,14925
,14927
,14928
,14929
,14931
,14934
,14938
,14941
,14942
,14943
,14944
17472,1495
291,14958
,1496
13358,14961
,14962
,14968
,14970
347,14972
,14975
,14977
,14982
,14983
18343,14985
,14986
,14987
18343,14989
18343a,14992
18343a,14997
20694,150
,1500
,15010
20695,15011
,15014
,1502
20695.5,15026
r241,15027
,15029
,15030
,15032
,15033
r241,15035
r242,15036
,15037
,1504
,15047
,15048
,1505
r243,15050
18337,15051
,15056
,15059
,1506
,15060
,15062
,15063
,15066
,15069
4627,15070
,15074
,15075
13798,1508
,15085
,15086
13798,15101
13798,15115
13798,15118
14754,15137
,15139
,1517
,15177
,1518
,1518
,15180
,15184
,15186
,15190
,15190
,15192
,152
,15203
,15204
,15205
,15213
,15215
,15217
,15225
,1522a
,1523
14754a,15230
,15233
4620,15238
,15241
,15243
c564,1525
,15251
c565a,15257
,15258
c565,1526
23704,15270
,15272
t229,15274
,15276
k452,1528
,15286
,15290
m2160,15293
,15296
,15298
s3481,153
,15300
s6126,15301
,15302
,15303
,15304
,15305
s6126a,15309
s6126b,15311
s6127,15314
,15315
,15316
,15317
s6128,15318
,15319
,15320
,15322
s6128,15331
,1534
b889,15343
,15362
,15367
b890,15369
b1581,15372
,15375
,1538
,15384
,1539
,1539
,15394
,1540
,15402
,15413
,15414
,1542
,15422
,15424
,15425
,15426
,15428
,1543
,1543
,15433
,15435
,15438
,15440
,15441
,15441
,15442
,15443
,15445
,15446
,15447
,1545
,15453
,15454
,15456
,1546
,15463
h170,15465
,15466
,15467
,15469
,1547
n877,15481
,15487
,15488
c709,15491
,15503
,15505
,15512
,15520
,15523
c1940a,15524
,15535
,15536
,15537
,15538
,1554
,15540
m816,15541
,15542a
,15543
,15545
,15546
,15548
,1555
,15552
,15558
f1466a,1556
,15560
,15562
,15566
,1557
,15571
,1559
,15593
b1602,15597
,156
b1603,1561
b1604,15633
b4870,15637
,15653
,15656
,15657
,15671
,15672
b4871,15679
s3486,1568
,15683
,15684
,15686
,15690
,15691
,15695
s3486,15696
,1570
,15701
h3097,15706
,15708
,15709
m1416,15711
,15714
,15715
s5237,15716
,15717
s5238,15719
c581,1573
,1573
,1577
c581a,1579
,1581
,1583
c6710,1584
,1585
,1589
,1590
,1591
c6711,1593
,15973
,1598
m1050,15986
,16
,1602
,161
h2437,16112
,163
h2445,16459
h2443,1648
g1006,1651
,1653
,16548
,1658
c582,16613
,16614
,16616
m1989,16617
,16618
,16619
s3490,16620
,16621
,16622
c4898,16623
,16624
,16630
,16631
c4894,16632
c4894a,16634
m1480,16637
,1664
,16641
,16646
,16653
m1480,16654
m1480,16655
m1480,16656
s3475,16657
,16658
,16659
s3474,16660
s3473,16662
b4872,16662a
,16663
,16665
,1667
,16674
,16676
,16677
s6130,16678
,16679
,16683
,16686
,16689
,16690
,16691
,16696
,16697
,1670
